Hand,Hand Type,Optimal k,Optimal Win %,Alternative k,Alternative Win %,Deception Cost (Δ%)
Ac Jc Td Tc W,Three of a Kind,3,89.17,0,77.20,11.97
Ac Jc Td Tc W,Three of a Kind,3,89.17,1,86.63,2.54
Ac Jc Td Tc W,Three of a Kind,3,89.17,2,87.17,2.00
Ac Jc Td Tc W,Three of a Kind,3,89.17,4,86.97,2.20
Ac Jc Th Tc W,Three of a Kind,3,89.17,0,77.20,11.97
Ac Jc Th Tc W,Three of a Kind,3,89.17,1,86.63,2.54
Ac Jc Th Tc W,Three of a Kind,3,89.17,2,87.17,2.00
Ac Jc Th Tc W,Three of a Kind,3,89.17,4,86.97,2.20
Ac Jc Th Td Tc,Three of a Kind,2,66.72,0,51.85,14.87
Ac Jc Th Td Tc,Three of a Kind,2,66.72,1,63.88,2.84
Ac Jc Th Td Tc,Three of a Kind,2,66.72,3,44.41,22.31
Ac Jc Th Td Tc,Three of a Kind,2,66.72,4,52.15,14.57
Ac Jc Th Td Tc,Three of a Kind,2,66.72,5,49.61,17.11
Ac Jc Th Td W,Three of a Kind,3,89.19,0,77.20,11.99
Ac Jc Th Td W,Three of a Kind,3,89.19,1,85.36,3.83
Ac Jc Th Td W,Three of a Kind,3,89.19,2,87.33,1.86
Ac Jc Th Td W,Three of a Kind,3,89.19,4,86.95,2.24
Ac Jc Ts Tc W,Three of a Kind,3,89.17,0,77.20,11.97
Ac Jc Ts Tc W,Three of a Kind,3,89.17,1,86.63,2.54
Ac Jc Ts Tc W,Three of a Kind,3,89.17,2,87.17,2.00
Ac Jc Ts Tc W,Three of a Kind,3,89.17,4,86.97,2.20
Ac Jc Ts Td Tc,Three of a Kind,2,66.72,0,51.85,14.87
Ac Jc Ts Td Tc,Three of a Kind,2,66.72,1,63.88,2.84
Ac Jc Ts Td Tc,Three of a Kind,2,66.72,3,44.41,22.31
Ac Jc Ts Td Tc,Three of a Kind,2,66.72,4,52.15,14.57
Ac Jc Ts Td Tc,Three of a Kind,2,66.72,5,49.61,17.11
Ac Jc Ts Td W,Three of a Kind,3,89.19,0,77.20,11.99
Ac Jc Ts Td W,Three of a Kind,3,89.19,1,85.36,3.83
Ac Jc Ts Td W,Three of a Kind,3,89.19,2,87.33,1.86
Ac Jc Ts Td W,Three of a Kind,3,89.19,4,86.95,2.24
Ac Jc Ts Th Tc,Three of a Kind,2,66.72,0,51.85,14.87
Ac Jc Ts Th Tc,Three of a Kind,2,66.72,1,63.88,2.84
Ac Jc Ts Th Tc,Three of a Kind,2,66.72,3,44.41,22.31
Ac Jc Ts Th Tc,Three of a Kind,2,66.72,4,52.15,14.57
Ac Jc Ts Th Tc,Three of a Kind,2,66.72,5,49.61,17.11
Ac Jc Ts Th Td,Three of a Kind,2,66.74,0,51.85,14.89
Ac Jc Ts Th Td,Three of a Kind,2,66.74,1,63.91,2.83
Ac Jc Ts Th Td,Three of a Kind,2,66.74,3,44.46,22.28
Ac Jc Ts Th Td,Three of a Kind,2,66.74,4,52.16,14.58
Ac Jc Ts Th Td,Three of a Kind,2,66.74,5,49.61,17.13
Ac Jc Ts Th W,Three of a Kind,3,89.19,0,77.20,11.99
Ac Jc Ts Th W,Three of a Kind,3,89.19,1,85.36,3.83
Ac Jc Ts Th W,Three of a Kind,3,89.19,2,87.33,1.86
Ac Jc Ts Th W,Three of a Kind,3,89.19,4,86.95,2.24
Ac Jd Jc Tc W,Three of a Kind,3,89.20,0,78.62,10.58
Ac Jd Jc Tc W,Three of a Kind,3,89.20,1,86.84,2.36
Ac Jd Jc Tc W,Three of a Kind,3,89.20,2,87.28,1.92
Ac Jd Jc Tc W,Three of a Kind,3,89.20,4,87.05,2.15
Ac Jd Jc Td Tc,Two Pair,4,52.57,0,33.52,19.05
Ac Jd Jc Td Tc,Two Pair,4,52.57,1,51.55,1.02
Ac Jd Jc Td Tc,Two Pair,4,52.57,2,42.48,10.09
Ac Jd Jc Td Tc,Two Pair,4,52.57,3,45.85,6.72
Ac Jd Jc Td Tc,Two Pair,4,52.57,5,49.28,3.29
Ac Jd Jc Td W,Three of a Kind,3,89.22,0,78.62,10.60
Ac Jd Jc Td W,Three of a Kind,3,89.22,1,85.58,3.64
Ac Jd Jc Td W,Three of a Kind,3,89.22,2,87.45,1.77
Ac Jd Jc Td W,Three of a Kind,3,89.22,4,87.04,2.18
Ac Jd Jc Th Tc,Two Pair,4,52.58,0,33.52,19.06
Ac Jd Jc Th Tc,Two Pair,4,52.58,1,51.57,1.01
Ac Jd Jc Th Tc,Two Pair,4,52.58,2,42.49,10.09
Ac Jd Jc Th Tc,Two Pair,4,52.58,3,45.85,6.73
Ac Jd Jc Th Tc,Two Pair,4,52.58,5,49.27,3.31
Ac Jd Jc Th Td,Two Pair,4,52.59,0,33.52,19.07
Ac Jd Jc Th Td,Two Pair,4,52.59,1,51.58,1.01
Ac Jd Jc Th Td,Two Pair,4,52.59,2,42.49,10.10
Ac Jd Jc Th Td,Two Pair,4,52.59,3,45.86,6.73
Ac Jd Jc Th Td,Two Pair,4,52.59,5,49.27,3.32
Ac Jd Jc Th W,Three of a Kind,3,89.23,0,78.62,10.61
Ac Jd Jc Th W,Three of a Kind,3,89.23,1,85.58,3.65
Ac Jd Jc Th W,Three of a Kind,3,89.23,2,87.46,1.77
Ac Jd Jc Th W,Three of a Kind,3,89.23,4,87.03,2.20
Ac Jd Jc Ts Tc,Two Pair,4,52.58,0,33.52,19.06
Ac Jd Jc Ts Tc,Two Pair,4,52.58,1,51.57,1.01
Ac Jd Jc Ts Tc,Two Pair,4,52.58,2,42.49,10.09
Ac Jd Jc Ts Tc,Two Pair,4,52.58,3,45.85,6.73
Ac Jd Jc Ts Tc,Two Pair,4,52.58,5,49.27,3.31
Ac Jd Jc Ts Td,Two Pair,4,52.59,0,33.52,19.07
Ac Jd Jc Ts Td,Two Pair,4,52.59,1,51.58,1.01
Ac Jd Jc Ts Td,Two Pair,4,52.59,2,42.49,10.10
Ac Jd Jc Ts Td,Two Pair,4,52.59,3,45.86,6.73
Ac Jd Jc Ts Td,Two Pair,4,52.59,5,49.27,3.32
Ac Jd Jc Ts Th,Two Pair,4,52.59,0,33.52,19.07
Ac Jd Jc Ts Th,Two Pair,4,52.59,1,51.59,1.00
Ac Jd Jc Ts Th,Two Pair,4,52.59,2,42.50,10.09
Ac Jd Jc Ts Th,Two Pair,4,52.59,3,45.87,6.72
Ac Jd Jc Ts Th,Two Pair,4,52.59,5,49.26,3.33
Ac Jd Jc Ts W,Three of a Kind,3,89.23,0,78.62,10.61
Ac Jd Jc Ts W,Three of a Kind,3,89.23,1,85.58,3.65
Ac Jd Jc Ts W,Three of a Kind,3,89.23,2,87.46,1.77
Ac Jd Jc Ts W,Three of a Kind,3,89.23,4,87.03,2.20
Ac Jd Td Tc W,Three of a Kind,3,89.19,0,77.20,11.99
Ac Jd Td Tc W,Three of a Kind,3,89.19,1,85.36,3.83
Ac Jd Td Tc W,Three of a Kind,3,89.19,2,87.17,2.02
Ac Jd Td Tc W,Three of a Kind,3,89.19,4,86.97,2.22
Ac Jd Th Tc W,Three of a Kind,3,89.19,0,77.20,11.99
Ac Jd Th Tc W,Three of a Kind,3,89.19,1,85.36,3.83
Ac Jd Th Tc W,Three of a Kind,3,89.19,2,87.17,2.02
Ac Jd Th Tc W,Three of a Kind,3,89.19,4,86.95,2.24
Ac Jd Th Td Tc,Three of a Kind,2,66.73,0,51.85,14.88
Ac Jd Th Td Tc,Three of a Kind,2,66.73,1,63.89,2.84
Ac Jd Th Td Tc,Three of a Kind,2,66.73,3,44.39,22.34
Ac Jd Th Td Tc,Three of a Kind,2,66.73,4,52.15,14.58
Ac Jd Th Td Tc,Three of a Kind,2,66.73,5,49.61,17.12
Ac Jd Th Td W,Three of a Kind,3,89.24,0,77.20,12.04
Ac Jd Th Td W,Three of a Kind,3,89.24,1,85.36,3.88
Ac Jd Th Td W,Three of a Kind,3,89.24,2,87.09,2.15
Ac Jd Th Td W,Three of a Kind,3,89.24,4,86.95,2.29
Ac Jd Ts Tc W,Three of a Kind,3,89.19,0,77.20,11.99
Ac Jd Ts Tc W,Three of a Kind,3,89.19,1,85.36,3.83
Ac Jd Ts Tc W,Three of a Kind,3,89.19,2,87.17,2.02
Ac Jd Ts Tc W,Three of a Kind,3,89.19,4,86.95,2.24
Ac Jd Ts Td Tc,Three of a Kind,2,66.73,0,51.85,14.88
Ac Jd Ts Td Tc,Three of a Kind,2,66.73,1,63.89,2.84
Ac Jd Ts Td Tc,Three of a Kind,2,66.73,3,44.39,22.34
Ac Jd Ts Td Tc,Three of a Kind,2,66.73,4,52.15,14.58
Ac Jd Ts Td Tc,Three of a Kind,2,66.73,5,49.61,17.12
Ac Jd Ts Td W,Three of a Kind,3,89.24,0,77.20,12.04
Ac Jd Ts Td W,Three of a Kind,3,89.24,1,85.36,3.88
Ac Jd Ts Td W,Three of a Kind,3,89.24,2,87.09,2.15
Ac Jd Ts Td W,Three of a Kind,3,89.24,4,86.95,2.29
Ac Jd Ts Th Tc,Three of a Kind,2,66.75,0,51.85,14.90
Ac Jd Ts Th Tc,Three of a Kind,2,66.75,1,63.91,2.84
Ac Jd Ts Th Tc,Three of a Kind,2,66.75,3,44.40,22.35
Ac Jd Ts Th Tc,Three of a Kind,2,66.75,4,52.16,14.59
Ac Jd Ts Th Tc,Three of a Kind,2,66.75,5,49.61,17.14
Ac Jd Ts Th Td,Three of a Kind,2,66.75,0,51.85,14.90
Ac Jd Ts Th Td,Three of a Kind,2,66.75,1,63.91,2.84
Ac Jd Ts Th Td,Three of a Kind,2,66.75,3,44.40,22.35
Ac Jd Ts Th Td,Three of a Kind,2,66.75,4,52.18,14.57
Ac Jd Ts Th Td,Three of a Kind,2,66.75,5,49.61,17.14
Ac Jd Ts Th W,Three of a Kind,3,89.24,0,77.20,12.04
Ac Jd Ts Th W,Three of a Kind,3,89.24,1,85.36,3.88
Ac Jd Ts Th W,Three of a Kind,3,89.24,2,87.10,2.14
Ac Jd Ts Th W,Three of a Kind,3,89.24,4,86.94,2.30
Ac Jh Jc Tc W,Three of a Kind,3,89.20,0,78.62,10.58
Ac Jh Jc Tc W,Three of a Kind,3,89.20,1,86.84,2.36
Ac Jh Jc Tc W,Three of a Kind,3,89.20,2,87.28,1.92
Ac Jh Jc Tc W,Three of a Kind,3,89.20,4,87.05,2.15
Ac Jh Jc Td Tc,Two Pair,4,52.58,0,33.52,19.06
Ac Jh Jc Td Tc,Two Pair,4,52.58,1,51.57,1.01
Ac Jh Jc Td Tc,Two Pair,4,52.58,2,42.49,10.09
Ac Jh Jc Td Tc,Two Pair,4,52.58,3,45.85,6.73
Ac Jh Jc Td Tc,Two Pair,4,52.58,5,49.27,3.31
Ac Jh Jc Td W,Three of a Kind,3,89.23,0,78.62,10.61
Ac Jh Jc Td W,Three of a Kind,3,89.23,1,85.58,3.65
Ac Jh Jc Td W,Three of a Kind,3,89.23,2,87.46,1.77
Ac Jh Jc Td W,Three of a Kind,3,89.23,4,87.03,2.20
Ac Jh Jc Th Tc,Two Pair,4,52.57,0,33.52,19.05
Ac Jh Jc Th Tc,Two Pair,4,52.57,1,51.55,1.02
Ac Jh Jc Th Tc,Two Pair,4,52.57,2,42.48,10.09
Ac Jh Jc Th Tc,Two Pair,4,52.57,3,45.85,6.72
Ac Jh Jc Th Tc,Two Pair,4,52.57,5,49.28,3.29
Ac Jh Jc Th Td,Two Pair,4,52.59,0,33.52,19.07
Ac Jh Jc Th Td,Two Pair,4,52.59,1,51.58,1.01
Ac Jh Jc Th Td,Two Pair,4,52.59,2,42.49,10.10
Ac Jh Jc Th Td,Two Pair,4,52.59,3,45.86,6.73
Ac Jh Jc Th Td,Two Pair,4,52.59,5,49.27,3.32
Ac Jh Jc Th W,Three of a Kind,3,89.22,0,78.62,10.60
Ac Jh Jc Th W,Three of a Kind,3,89.22,1,85.58,3.64
Ac Jh Jc Th W,Three of a Kind,3,89.22,2,87.45,1.77
Ac Jh Jc Th W,Three of a Kind,3,89.22,4,87.04,2.18
Ac Jh Jc Ts Tc,Two Pair,4,52.58,0,33.52,19.06
Ac Jh Jc Ts Tc,Two Pair,4,52.58,1,51.57,1.01
Ac Jh Jc Ts Tc,Two Pair,4,52.58,2,42.49,10.09
Ac Jh Jc Ts Tc,Two Pair,4,52.58,3,45.85,6.73
Ac Jh Jc Ts Tc,Two Pair,4,52.58,5,49.27,3.31
Ac Jh Jc Ts Td,Two Pair,4,52.59,0,33.52,19.07
Ac Jh Jc Ts Td,Two Pair,4,52.59,1,51.59,1.00
Ac Jh Jc Ts Td,Two Pair,4,52.59,2,42.50,10.09
Ac Jh Jc Ts Td,Two Pair,4,52.59,3,45.87,6.72
Ac Jh Jc Ts Td,Two Pair,4,52.59,5,49.26,3.33
Ac Jh Jc Ts Th,Two Pair,4,52.59,0,33.52,19.07
Ac Jh Jc Ts Th,Two Pair,4,52.59,1,51.58,1.01
Ac Jh Jc Ts Th,Two Pair,4,52.59,2,42.49,10.10
Ac Jh Jc Ts Th,Two Pair,4,52.59,3,45.86,6.73
Ac Jh Jc Ts Th,Two Pair,4,52.59,5,49.27,3.32
Ac Jh Jc Ts W,Three of a Kind,3,89.23,0,78.62,10.61
Ac Jh Jc Ts W,Three of a Kind,3,89.23,1,85.58,3.65
Ac Jh Jc Ts W,Three of a Kind,3,89.23,2,87.46,1.77
Ac Jh Jc Ts W,Three of a Kind,3,89.23,4,87.03,2.20
Ac Jh Jd Jc Tc,Three of a Kind,2,69.77,0,56.52,13.25
Ac Jh Jd Jc Tc,Three of a Kind,2,69.77,1,67.82,1.95
Ac Jh Jd Jc Tc,Three of a Kind,2,69.77,3,44.28,25.49
Ac Jh Jd Jc Tc,Three of a Kind,2,69.77,4,52.15,17.62
Ac Jh Jd Jc Tc,Three of a Kind,2,69.77,5,49.61,20.16
Ac Jh Jd Jc Td,Three of a Kind,2,69.78,0,56.52,13.26
Ac Jh Jd Jc Td,Three of a Kind,2,69.78,1,67.82,1.96
Ac Jh Jd Jc Td,Three of a Kind,2,69.78,3,44.35,25.43
Ac Jh Jd Jc Td,Three of a Kind,2,69.78,4,52.15,17.63
Ac Jh Jd Jc Td,Three of a Kind,2,69.78,5,49.61,20.17
Ac Jh Jd Jc Th,Three of a Kind,2,69.78,0,56.52,13.26
Ac Jh Jd Jc Th,Three of a Kind,2,69.78,1,67.82,1.96
Ac Jh Jd Jc Th,Three of a Kind,2,69.78,3,44.35,25.43
Ac Jh Jd Jc Th,Three of a Kind,2,69.78,4,52.15,17.63
Ac Jh Jd Jc Th,Three of a Kind,2,69.78,5,49.61,20.17
Ac Jh Jd Jc Ts,Three of a Kind,2,69.80,0,56.52,13.28
Ac Jh Jd Jc Ts,Three of a Kind,2,69.80,1,67.84,1.96
Ac Jh Jd Jc Ts,Three of a Kind,2,69.80,3,44.35,25.45
Ac Jh Jd Jc Ts,Three of a Kind,2,69.80,4,52.16,17.64
Ac Jh Jd Jc Ts,Three of a Kind,2,69.80,5,49.61,20.19
Ac Jh Jd Jc W,Four of a Kind,1,99.47,0,99.43,0.04
Ac Jh Jd Jc W,Four of a Kind,1,99.47,2,88.40,11.07
Ac Jh Jd Jc W,Four of a Kind,1,99.47,3,89.75,9.72
Ac Jh Jd Jc W,Four of a Kind,1,99.47,4,87.97,11.50
Ac Jh Jd Tc W,Three of a Kind,3,89.22,0,78.62,10.60
Ac Jh Jd Tc W,Three of a Kind,3,89.22,1,85.58,3.64
Ac Jh Jd Tc W,Three of a Kind,3,89.22,2,87.35,1.87
Ac Jh Jd Tc W,Three of a Kind,3,89.22,4,87.03,2.19
Ac Jh Jd Td Tc,Two Pair,4,52.59,0,33.52,19.07
Ac Jh Jd Td Tc,Two Pair,4,52.59,1,51.58,1.01
Ac Jh Jd Td Tc,Two Pair,4,52.59,2,42.49,10.10
Ac Jh Jd Td Tc,Two Pair,4,52.59,3,45.86,6.73
Ac Jh Jd Td Tc,Two Pair,4,52.59,5,49.27,3.32
Ac Jh Jd Td W,Three of a Kind,3,89.28,0,78.62,10.66
Ac Jh Jd Td W,Three of a Kind,3,89.28,1,85.58,3.70
Ac Jh Jd Td W,Three of a Kind,3,89.28,2,87.20,2.08
Ac Jh Jd Td W,Three of a Kind,3,89.28,4,87.03,2.25
Ac Jh Jd Th Tc,Two Pair,4,52.59,0,33.52,19.07
Ac Jh Jd Th Tc,Two Pair,4,52.59,1,51.58,1.01
Ac Jh Jd Th Tc,Two Pair,4,52.59,2,42.49,10.10
Ac Jh Jd Th Tc,Two Pair,4,52.59,3,45.86,6.73
Ac Jh Jd Th Tc,Two Pair,4,52.59,5,49.27,3.32
Ac Jh Jd Th Td,Two Pair,4,52.62,0,33.52,19.10
Ac Jh Jd Th Td,Two Pair,4,52.62,1,51.58,1.04
Ac Jh Jd Th Td,Two Pair,4,52.62,2,42.49,10.13
Ac Jh Jd Th Td,Two Pair,4,52.62,3,45.86,6.76
Ac Jh Jd Th Td,Two Pair,4,52.62,5,49.27,3.35
Ac Jh Jd Th W,Three of a Kind,3,89.28,0,78.62,10.66
Ac Jh Jd Th W,Three of a Kind,3,89.28,1,85.58,3.70
Ac Jh Jd Th W,Three of a Kind,3,89.28,2,87.20,2.08
Ac Jh Jd Th W,Three of a Kind,3,89.28,4,87.03,2.25
Ac Jh Jd Ts Tc,Two Pair,4,52.59,0,33.52,19.07
Ac Jh Jd Ts Tc,Two Pair,4,52.59,1,51.59,1.00
Ac Jh Jd Ts Tc,Two Pair,4,52.59,2,42.50,10.09
Ac Jh Jd Ts Tc,Two Pair,4,52.59,3,45.87,6.72
Ac Jh Jd Ts Tc,Two Pair,4,52.59,5,49.26,3.33
Ac Jh Jd Ts Td,Two Pair,4,52.62,0,33.52,19.10
Ac Jh Jd Ts Td,Two Pair,4,52.62,1,51.60,1.02
Ac Jh Jd Ts Td,Two Pair,4,52.62,2,42.50,10.12
Ac Jh Jd Ts Td,Two Pair,4,52.62,3,45.87,6.75
Ac Jh Jd Ts Td,Two Pair,4,52.62,5,49.26,3.36
Ac Jh Jd Ts Th,Two Pair,4,52.62,0,33.52,19.10
Ac Jh Jd Ts Th,Two Pair,4,52.62,1,51.60,1.02
Ac Jh Jd Ts Th,Two Pair,4,52.62,2,42.50,10.12
Ac Jh Jd Ts Th,Two Pair,4,52.62,3,45.87,6.75
Ac Jh Jd Ts Th,Two Pair,4,52.62,5,49.26,3.36
Ac Jh Jd Ts W,Three of a Kind,3,89.28,0,78.62,10.66
Ac Jh Jd Ts W,Three of a Kind,3,89.28,1,85.58,3.70
Ac Jh Jd Ts W,Three of a Kind,3,89.28,2,87.20,2.08
Ac Jh Jd Ts W,Three of a Kind,3,89.28,4,87.01,2.27
Ac Jh Td Tc W,Three of a Kind,3,89.19,0,77.20,11.99
Ac Jh Td Tc W,Three of a Kind,3,89.19,1,85.36,3.83
Ac Jh Td Tc W,Three of a Kind,3,89.19,2,87.17,2.02
Ac Jh Td Tc W,Three of a Kind,3,89.19,4,86.95,2.24
Ac Jh Th Tc W,Three of a Kind,3,89.19,0,77.20,11.99
Ac Jh Th Tc W,Three of a Kind,3,89.19,1,85.36,3.83
Ac Jh Th Tc W,Three of a Kind,3,89.19,2,87.17,2.02
Ac Jh Th Tc W,Three of a Kind,3,89.19,4,86.97,2.22
Ac Jh Th Td Tc,Three of a Kind,2,66.73,0,51.85,14.88
Ac Jh Th Td Tc,Three of a Kind,2,66.73,1,63.89,2.84
Ac Jh Th Td Tc,Three of a Kind,2,66.73,3,44.39,22.34
Ac Jh Th Td Tc,Three of a Kind,2,66.73,4,52.15,14.58
Ac Jh Th Td Tc,Three of a Kind,2,66.73,5,49.61,17.12
Ac Jh Th Td W,Three of a Kind,3,89.24,0,77.20,12.04
Ac Jh Th Td W,Three of a Kind,3,89.24,1,85.36,3.88
Ac Jh Th Td W,Three of a Kind,3,89.24,2,87.09,2.15
Ac Jh Th Td W,Three of a Kind,3,89.24,4,86.95,2.29
Ac Jh Ts Tc W,Three of a Kind,3,89.19,0,77.20,11.99
Ac Jh Ts Tc W,Three of a Kind,3,89.19,1,85.36,3.83
Ac Jh Ts Tc W,Three of a Kind,3,89.19,2,87.17,2.02
Ac Jh Ts Tc W,Three of a Kind,3,89.19,4,86.95,2.24
Ac Jh Ts Td Tc,Three of a Kind,2,66.75,0,51.85,14.90
Ac Jh Ts Td Tc,Three of a Kind,2,66.75,1,63.91,2.84
Ac Jh Ts Td Tc,Three of a Kind,2,66.75,3,44.40,22.35
Ac Jh Ts Td Tc,Three of a Kind,2,66.75,4,52.16,14.59
Ac Jh Ts Td Tc,Three of a Kind,2,66.75,5,49.61,17.14
Ac Jh Ts Td W,Three of a Kind,3,89.24,0,77.20,12.04
Ac Jh Ts Td W,Three of a Kind,3,89.24,1,85.36,3.88
Ac Jh Ts Td W,Three of a Kind,3,89.24,2,87.10,2.14
Ac Jh Ts Td W,Three of a Kind,3,89.24,4,86.94,2.30
Ac Jh Ts Th Tc,Three of a Kind,2,66.73,0,51.85,14.88
Ac Jh Ts Th Tc,Three of a Kind,2,66.73,1,63.89,2.84
Ac Jh Ts Th Tc,Three of a Kind,2,66.73,3,44.39,22.34
Ac Jh Ts Th Tc,Three of a Kind,2,66.73,4,52.15,14.58
Ac Jh Ts Th Tc,Three of a Kind,2,66.73,5,49.61,17.12
Ac Jh Ts Th Td,Three of a Kind,2,66.75,0,51.85,14.90
Ac Jh Ts Th Td,Three of a Kind,2,66.75,1,63.91,2.84
Ac Jh Ts Th Td,Three of a Kind,2,66.75,3,44.40,22.35
Ac Jh Ts Th Td,Three of a Kind,2,66.75,4,52.18,14.57
Ac Jh Ts Th Td,Three of a Kind,2,66.75,5,49.61,17.14
Ac Jh Ts Th W,Three of a Kind,3,89.24,0,77.20,12.04
Ac Jh Ts Th W,Three of a Kind,3,89.24,1,85.36,3.88
Ac Jh Ts Th W,Three of a Kind,3,89.24,2,87.09,2.15
Ac Jh Ts Th W,Three of a Kind,3,89.24,4,86.95,2.29
Ac Js Jc Tc W,Three of a Kind,3,89.20,0,78.62,10.58
Ac Js Jc Tc W,Three of a Kind,3,89.20,1,86.84,2.36
Ac Js Jc Tc W,Three of a Kind,3,89.20,2,87.28,1.92
Ac Js Jc Tc W,Three of a Kind,3,89.20,4,87.05,2.15
Ac Js Jc Td Tc,Two Pair,4,52.58,0,33.52,19.06
Ac Js Jc Td Tc,Two Pair,4,52.58,1,51.57,1.01
Ac Js Jc Td Tc,Two Pair,4,52.58,2,42.49,10.09
Ac Js Jc Td Tc,Two Pair,4,52.58,3,45.85,6.73
Ac Js Jc Td Tc,Two Pair,4,52.58,5,49.27,3.31
Ac Js Jc Td W,Three of a Kind,3,89.23,0,78.62,10.61
Ac Js Jc Td W,Three of a Kind,3,89.23,1,85.58,3.65
Ac Js Jc Td W,Three of a Kind,3,89.23,2,87.46,1.77
Ac Js Jc Td W,Three of a Kind,3,89.23,4,87.03,2.20
Ac Js Jc Th Tc,Two Pair,4,52.58,0,33.52,19.06
Ac Js Jc Th Tc,Two Pair,4,52.58,1,51.57,1.01
Ac Js Jc Th Tc,Two Pair,4,52.58,2,42.49,10.09
Ac Js Jc Th Tc,Two Pair,4,52.58,3,45.85,6.73
Ac Js Jc Th Tc,Two Pair,4,52.58,5,49.27,3.31
Ac Js Jc Th Td,Two Pair,4,52.59,0,33.52,19.07
Ac Js Jc Th Td,Two Pair,4,52.59,1,51.59,1.00
Ac Js Jc Th Td,Two Pair,4,52.59,2,42.50,10.09
Ac Js Jc Th Td,Two Pair,4,52.59,3,45.87,6.72
Ac Js Jc Th Td,Two Pair,4,52.59,5,49.26,3.33
Ac Js Jc Th W,Three of a Kind,3,89.23,0,78.62,10.61
Ac Js Jc Th W,Three of a Kind,3,89.23,1,85.58,3.65
Ac Js Jc Th W,Three of a Kind,3,89.23,2,87.46,1.77
Ac Js Jc Th W,Three of a Kind,3,89.23,4,87.03,2.20
Ac Js Jc Ts Tc,Two Pair,4,52.57,0,33.52,19.05
Ac Js Jc Ts Tc,Two Pair,4,52.57,1,51.55,1.02
Ac Js Jc Ts Tc,Two Pair,4,52.57,2,42.48,10.09
Ac Js Jc Ts Tc,Two Pair,4,52.57,3,45.85,6.72
Ac Js Jc Ts Tc,Two Pair,4,52.57,5,49.28,3.29
Ac Js Jc Ts Td,Two Pair,4,52.59,0,33.52,19.07
Ac Js Jc Ts Td,Two Pair,4,52.59,1,51.58,1.01
Ac Js Jc Ts Td,Two Pair,4,52.59,2,42.49,10.10
Ac Js Jc Ts Td,Two Pair,4,52.59,3,45.86,6.73
Ac Js Jc Ts Td,Two Pair,4,52.59,5,49.27,3.32
Ac Js Jc Ts Th,Two Pair,4,52.59,0,33.52,19.07
Ac Js Jc Ts Th,Two Pair,4,52.59,1,51.58,1.01
Ac Js Jc Ts Th,Two Pair,4,52.59,2,42.49,10.10
Ac Js Jc Ts Th,Two Pair,4,52.59,3,45.86,6.73
Ac Js Jc Ts Th,Two Pair,4,52.59,5,49.27,3.32
Ac Js Jc Ts W,Three of a Kind,3,89.22,0,78.62,10.60
Ac Js Jc Ts W,Three of a Kind,3,89.22,1,85.58,3.64
Ac Js Jc Ts W,Three of a Kind,3,89.22,2,87.45,1.77
Ac Js Jc Ts W,Three of a Kind,3,89.22,4,87.04,2.18
Ac Js Jd Jc Tc,Three of a Kind,2,69.77,0,56.52,13.25
Ac Js Jd Jc Tc,Three of a Kind,2,69.77,1,67.82,1.95
Ac Js Jd Jc Tc,Three of a Kind,2,69.77,3,44.28,25.49
Ac Js Jd Jc Tc,Three of a Kind,2,69.77,4,52.15,17.62
Ac Js Jd Jc Tc,Three of a Kind,2,69.77,5,49.61,20.16
Ac Js Jd Jc Td,Three of a Kind,2,69.78,0,56.52,13.26
Ac Js Jd Jc Td,Three of a Kind,2,69.78,1,67.82,1.96
Ac Js Jd Jc Td,Three of a Kind,2,69.78,3,44.35,25.43
Ac Js Jd Jc Td,Three of a Kind,2,69.78,4,52.15,17.63
Ac Js Jd Jc Td,Three of a Kind,2,69.78,5,49.61,20.17
Ac Js Jd Jc Th,Three of a Kind,2,69.80,0,56.52,13.28
Ac Js Jd Jc Th,Three of a Kind,2,69.80,1,67.84,1.96
Ac Js Jd Jc Th,Three of a Kind,2,69.80,3,44.35,25.45
Ac Js Jd Jc Th,Three of a Kind,2,69.80,4,52.16,17.64
Ac Js Jd Jc Th,Three of a Kind,2,69.80,5,49.61,20.19
Ac Js Jd Jc Ts,Three of a Kind,2,69.78,0,56.52,13.26
Ac Js Jd Jc Ts,Three of a Kind,2,69.78,1,67.82,1.96
Ac Js Jd Jc Ts,Three of a Kind,2,69.78,3,44.35,25.43
Ac Js Jd Jc Ts,Three of a Kind,2,69.78,4,52.15,17.63
Ac Js Jd Jc Ts,Three of a Kind,2,69.78,5,49.61,20.17
Ac Js Jd Jc W,Four of a Kind,1,99.47,0,99.43,0.04
Ac Js Jd Jc W,Four of a Kind,1,99.47,2,88.40,11.07
Ac Js Jd Jc W,Four of a Kind,1,99.47,3,89.75,9.72
Ac Js Jd Jc W,Four of a Kind,1,99.47,4,87.97,11.50
Ac Js Jd Tc W,Three of a Kind,3,89.22,0,78.62,10.60
Ac Js Jd Tc W,Three of a Kind,3,89.22,1,85.58,3.64
Ac Js Jd Tc W,Three of a Kind,3,89.22,2,87.35,1.87
Ac Js Jd Tc W,Three of a Kind,3,89.22,4,87.03,2.19
Ac Js Jd Td Tc,Two Pair,4,52.59,0,33.52,19.07
Ac Js Jd Td Tc,Two Pair,4,52.59,1,51.58,1.01
Ac Js Jd Td Tc,Two Pair,4,52.59,2,42.49,10.10
Ac Js Jd Td Tc,Two Pair,4,52.59,3,45.86,6.73
