Hand,Hand Type,Pre-Discard Win %,Optimal Discard,Optimal Win %,Delta %,P(Improve),Risk Ratio,Verdict
Ac Ks Kh Kd W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
Ad Ks Kh Kc W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
Ah Ad Ac Js W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
Ah Ad Ac Ks W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
Ah Ad Ac Qs W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
Ah Ad Ac Ts W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
Ah Ks Kd Kc W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ad Ac Jh W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ad Ac Kh W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ad Ac Qh W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ad Ac Th W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ah Ac Jd W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ah Ac Kd W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ah Ac Qd W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ah Ac Td W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ah Ad Ac W,Five of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ah Ad Jc W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ah Ad Kc W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ah Ad Qc W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Ah Ad Tc W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
As Kh Kd Kc W,Four of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
Js Jh Jd Jc W,Five of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
Ks Kh Kd Kc W,Five of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
Qs Qh Qd Qc W,Five of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
Ts Th Td Tc W,Five of a Kind,100.00,—,100.00,0.00,0.00,—,Keep
Ac Kh Kd Kc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ac Ks Kd Kc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ac Ks Kh Kc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ad Kh Kd Kc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ad Ks Kd Kc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ad Ks Kh Kd W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ad Ac Jc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ad Ac Jd W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ad Ac Jh W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ad Ac Kc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ad Ac Kd W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ad Ac Kh W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ad Ac Qc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ad Ac Qd W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ad Ac Qh W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ad Ac Tc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ad Ac Td W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ad Ac Th W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Kh Kd Kc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ks Kh Kc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ah Ks Kh Kd W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ad Ac Jc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ad Ac Jd W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ad Ac Js W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ad Ac Kc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ad Ac Kd W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ad Ac Ks W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ad Ac Qc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ad Ac Qd W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ad Ac Qs W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ad Ac Tc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ad Ac Td W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ad Ac Ts W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ac Jc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ac Jh W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ac Js W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ac Kc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ac Kh W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ac Ks W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ac Qc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ac Qh W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ac Qs W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ac Tc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ac Th W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ac Ts W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ad Jd W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ad Jh W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ad Js W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ad Kd W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ad Kh W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ad Ks W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ad Qd W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ad Qh W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ad Qs W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ad Td W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ad Th W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ah Ad Ts W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ks Kd Kc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ks Kh Kc W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
As Ks Kh Kd W,Four of a Kind,99.98,—,99.98,0.00,0.00,—,Keep
Ac Kc Jc Tc W,Royal Flush,99.93,—,99.93,0.00,0.00,—,Keep
Ac Kc Qc Jc W,Royal Flush,99.93,—,99.93,0.00,0.00,—,Keep
Ac Kc Qc Tc W,Royal Flush,99.93,—,99.93,0.00,0.00,—,Keep
Ac Qc Jc Tc W,Royal Flush,99.93,—,99.93,0.00,0.00,—,Keep
Ad Kd Jd Td W,Royal Flush,99.93,—,99.93,0.00,0.00,—,Keep
Ad Kd Qd Jd W,Royal Flush,99.93,—,99.93,0.00,0.00,—,Keep
Ad Kd Qd Td W,Royal Flush,99.93,—,99.93,0.00,0.00,—,Keep
Ad Qd Jd Td W,Royal Flush,99.93,—,99.93,0.00,0.00,—,Keep
Ah Kh Jh Th W,Royal Flush,99.93,—,99.93,0.00,0.00,—,Keep
Ah Kh Qh Jh W,Royal Flush,99.93,—,99.93,0.00,0.00,—,Keep
Ah Kh Qh Th W,Royal Flush,99.93,—,99.93,0.00,0.00,—,Keep
Ah Qh Jh Th W,Royal Flush,99.93,—,99.93,0.00,0.00,—,Keep
As Ks Js Ts W,Royal Flush,99.93,—,99.93,0.00,0.00,—,Keep
As Ks Qs Js W,Royal Flush,99.93,—,99.93,0.00,0.00,—,Keep
As Ks Qs Ts W,Royal Flush,99.93,—,99.93,0.00,0.00,—,Keep
As Qs Js Ts W,Royal Flush,99.93,—,99.93,0.00,0.00,—,Keep
Kc Qc Jc Tc W,Royal Flush,99.93,—,99.93,0.00,0.00,—,Keep
Kd Qd Jd Td W,Royal Flush,99.93,—,99.93,0.00,0.00,—,Keep
Kh Qh Jh Th W,Royal Flush,99.93,—,99.93,0.00,0.00,—,Keep
Ks Qs Js Ts W,Royal Flush,99.93,—,99.93,0.00,0.00,—,Keep
As Ah Ad Ac Jc,Four of a Kind,99.86,—,99.86,0.00,0.00,—,Keep
As Ah Ad Ac Jd,Four of a Kind,99.86,—,99.86,0.00,0.00,—,Keep
As Ah Ad Ac Jh,Four of a Kind,99.86,—,99.86,0.00,0.00,—,Keep
As Ah Ad Ac Js,Four of a Kind,99.86,—,99.86,0.00,0.00,—,Keep
As Ah Ad Ac Kc,Four of a Kind,99.86,—,99.86,0.00,0.00,—,Keep
As Ah Ad Ac Kd,Four of a Kind,99.86,—,99.86,0.00,0.00,—,Keep
As Ah Ad Ac Kh,Four of a Kind,99.86,—,99.86,0.00,0.00,—,Keep
As Ah Ad Ac Ks,Four of a Kind,99.86,—,99.86,0.00,0.00,—,Keep
As Ah Ad Ac Qc,Four of a Kind,99.86,—,99.86,0.00,0.00,—,Keep
As Ah Ad Ac Qd,Four of a Kind,99.86,—,99.86,0.00,0.00,—,Keep
As Ah Ad Ac Qh,Four of a Kind,99.86,—,99.86,0.00,0.00,—,Keep
As Ah Ad Ac Qs,Four of a Kind,99.86,—,99.86,0.00,0.00,—,Keep
As Ah Ad Ac Tc,Four of a Kind,99.86,—,99.86,0.00,0.00,—,Keep
As Ah Ad Ac Td,Four of a Kind,99.86,—,99.86,0.00,0.00,—,Keep
As Ah Ad Ac Th,Four of a Kind,99.86,—,99.86,0.00,0.00,—,Keep
As Ah Ad Ac Ts,Four of a Kind,99.86,—,99.86,0.00,0.00,—,Keep
Ac Qs Qh Qd W,Four of a Kind,99.73,Ac,99.75,0.02,6.25,3.00,Discard Ac
Ad Qs Qh Qc W,Four of a Kind,99.73,Ad,99.75,0.02,6.25,3.00,Discard Ad
Ah Qs Qd Qc W,Four of a Kind,99.73,Ah,99.75,0.02,6.25,3.00,Discard Ah
As Qh Qd Qc W,Four of a Kind,99.73,As,99.75,0.02,6.25,3.00,Discard As
Kc Qs Qh Qd W,Four of a Kind,99.73,Kc,99.75,0.02,6.25,3.00,Discard Kc
Kd Qs Qh Qc W,Four of a Kind,99.73,Kd,99.75,0.02,6.25,3.00,Discard Kd
Kh Kd Kc Js W,Four of a Kind,99.73,Js,99.75,0.02,6.25,3.00,Discard Js
Kh Kd Kc Qs W,Four of a Kind,99.73,Qs,99.75,0.02,6.25,3.00,Discard Qs
Kh Kd Kc Ts W,Four of a Kind,99.73,Ts,99.75,0.02,6.25,3.00,Discard Ts
Kh Qs Qd Qc W,Four of a Kind,99.73,Kh,99.75,0.02,6.25,3.00,Discard Kh
Ks Kd Kc Jh W,Four of a Kind,99.73,Jh,99.75,0.02,6.25,3.00,Discard Jh
Ks Kd Kc Qh W,Four of a Kind,99.73,Qh,99.75,0.02,6.25,3.00,Discard Qh
Ks Kd Kc Th W,Four of a Kind,99.73,Th,99.75,0.02,6.25,3.00,Discard Th
Ks Kh Kc Jd W,Four of a Kind,99.73,Jd,99.75,0.02,6.25,3.00,Discard Jd
Ks Kh Kc Qd W,Four of a Kind,99.73,Qd,99.75,0.02,6.25,3.00,Discard Qd
Ks Kh Kc Td W,Four of a Kind,99.73,Td,99.75,0.02,6.25,3.00,Discard Td
Ks Kh Kd Jc W,Four of a Kind,99.73,Jc,99.75,0.02,6.25,3.00,Discard Jc
Ks Kh Kd Qc W,Four of a Kind,99.73,Qc,99.75,0.02,6.25,3.00,Discard Qc
Ks Kh Kd Tc W,Four of a Kind,99.73,Tc,99.75,0.02,6.25,3.00,Discard Tc
Ks Qh Qd Qc W,Four of a Kind,99.73,Ks,99.75,0.02,6.25,3.00,Discard Ks
Ac Qh Qd Qc W,Four of a Kind,99.70,Ac,99.73,0.02,6.25,2.92,Discard Ac
Ac Qs Qd Qc W,Four of a Kind,99.70,Ac,99.73,0.02,6.25,2.92,Discard Ac
Ac Qs Qh Qc W,Four of a Kind,99.70,Ac,99.73,0.02,6.25,2.92,Discard Ac
Ad Qh Qd Qc W,Four of a Kind,99.70,Ad,99.73,0.02,6.25,2.92,Discard Ad
Ad Qs Qd Qc W,Four of a Kind,99.70,Ad,99.73,0.02,6.25,2.92,Discard Ad
Ad Qs Qh Qd W,Four of a Kind,99.70,Ad,99.73,0.02,6.25,2.92,Discard Ad
Ah Qh Qd Qc W,Four of a Kind,99.70,Ah,99.73,0.02,6.25,2.92,Discard Ah
Ah Qs Qh Qc W,Four of a Kind,99.70,Ah,99.73,0.02,6.25,2.92,Discard Ah
Ah Qs Qh Qd W,Four of a Kind,99.70,Ah,99.73,0.02,6.25,2.92,Discard Ah
As Qs Qd Qc W,Four of a Kind,99.70,As,99.73,0.02,6.25,2.92,Discard As
As Qs Qh Qc W,Four of a Kind,99.70,As,99.73,0.02,6.25,2.92,Discard As
As Qs Qh Qd W,Four of a Kind,99.70,As,99.73,0.02,6.25,2.92,Discard As
Kc Qh Qd Qc W,Four of a Kind,99.70,Kc,99.73,0.02,6.25,2.92,Discard Kc
Kc Qs Qd Qc W,Four of a Kind,99.70,Kc,99.73,0.02,6.25,2.92,Discard Kc
Kc Qs Qh Qc W,Four of a Kind,99.70,Kc,99.73,0.02,6.25,2.92,Discard Kc
Kd Qh Qd Qc W,Four of a Kind,99.70,Kd,99.73,0.02,6.25,2.92,Discard Kd
Kd Qs Qd Qc W,Four of a Kind,99.70,Kd,99.73,0.02,6.25,2.92,Discard Kd
Kd Qs Qh Qd W,Four of a Kind,99.70,Kd,99.73,0.02,6.25,2.92,Discard Kd
Kh Kd Kc Jc W,Four of a Kind,99.70,Jc,99.73,0.02,6.25,2.92,Discard Jc
Kh Kd Kc Jd W,Four of a Kind,99.70,Jd,99.73,0.02,6.25,2.92,Discard Jd
Kh Kd Kc Jh W,Four of a Kind,99.70,Jh,99.73,0.02,6.25,2.92,Discard Jh
Kh Kd Kc Qc W,Four of a Kind,99.70,Qc,99.73,0.02,6.25,2.92,Discard Qc
Kh Kd Kc Qd W,Four of a Kind,99.70,Qd,99.73,0.02,6.25,2.92,Discard Qd
Kh Kd Kc Qh W,Four of a Kind,99.70,Qh,99.73,0.02,6.25,2.92,Discard Qh
Kh Kd Kc Tc W,Four of a Kind,99.70,Tc,99.73,0.02,6.25,2.92,Discard Tc
Kh Kd Kc Td W,Four of a Kind,99.70,Td,99.73,0.02,6.25,2.92,Discard Td
Kh Kd Kc Th W,Four of a Kind,99.70,Th,99.73,0.02,6.25,2.92,Discard Th
Kh Qh Qd Qc W,Four of a Kind,99.70,Kh,99.73,0.02,6.25,2.92,Discard Kh
Kh Qs Qh Qc W,Four of a Kind,99.70,Kh,99.73,0.02,6.25,2.92,Discard Kh
Kh Qs Qh Qd W,Four of a Kind,99.70,Kh,99.73,0.02,6.25,2.92,Discard Kh
Ks Kd Kc Jc W,Four of a Kind,99.70,Jc,99.73,0.02,6.25,2.92,Discard Jc
Ks Kd Kc Jd W,Four of a Kind,99.70,Jd,99.73,0.02,6.25,2.92,Discard Jd
Ks Kd Kc Js W,Four of a Kind,99.70,Js,99.73,0.02,6.25,2.92,Discard Js
Ks Kd Kc Qc W,Four of a Kind,99.70,Qc,99.73,0.02,6.25,2.92,Discard Qc
Ks Kd Kc Qd W,Four of a Kind,99.70,Qd,99.73,0.02,6.25,2.92,Discard Qd
Ks Kd Kc Qs W,Four of a Kind,99.70,Qs,99.73,0.02,6.25,2.92,Discard Qs
Ks Kd Kc Tc W,Four of a Kind,99.70,Tc,99.73,0.02,6.25,2.92,Discard Tc
Ks Kd Kc Td W,Four of a Kind,99.70,Td,99.73,0.02,6.25,2.92,Discard Td
Ks Kd Kc Ts W,Four of a Kind,99.70,Ts,99.73,0.02,6.25,2.92,Discard Ts
Ks Kh Kc Jc W,Four of a Kind,99.70,Jc,99.73,0.02,6.25,2.92,Discard Jc
Ks Kh Kc Jh W,Four of a Kind,99.70,Jh,99.73,0.02,6.25,2.92,Discard Jh
Ks Kh Kc Js W,Four of a Kind,99.70,Js,99.73,0.02,6.25,2.92,Discard Js
Ks Kh Kc Qc W,Four of a Kind,99.70,Qc,99.73,0.02,6.25,2.92,Discard Qc
Ks Kh Kc Qh W,Four of a Kind,99.70,Qh,99.73,0.02,6.25,2.92,Discard Qh
Ks Kh Kc Qs W,Four of a Kind,99.70,Qs,99.73,0.02,6.25,2.92,Discard Qs
Ks Kh Kc Tc W,Four of a Kind,99.70,Tc,99.73,0.02,6.25,2.92,Discard Tc
Ks Kh Kc Th W,Four of a Kind,99.70,Th,99.73,0.02,6.25,2.92,Discard Th
Ks Kh Kc Ts W,Four of a Kind,99.70,Ts,99.73,0.02,6.25,2.92,Discard Ts
Ks Kh Kd Jd W,Four of a Kind,99.70,Jd,99.73,0.02,6.25,2.92,Discard Jd
Ks Kh Kd Jh W,Four of a Kind,99.70,Jh,99.73,0.02,6.25,2.92,Discard Jh
Ks Kh Kd Js W,Four of a Kind,99.70,Js,99.73,0.02,6.25,2.92,Discard Js
Ks Kh Kd Qd W,Four of a Kind,99.70,Qd,99.73,0.02,6.25,2.92,Discard Qd
Ks Kh Kd Qh W,Four of a Kind,99.70,Qh,99.73,0.02,6.25,2.92,Discard Qh
Ks Kh Kd Qs W,Four of a Kind,99.70,Qs,99.73,0.02,6.25,2.92,Discard Qs
Ks Kh Kd Td W,Four of a Kind,99.70,Td,99.73,0.02,6.25,2.92,Discard Td
Ks Kh Kd Th W,Four of a Kind,99.70,Th,99.73,0.02,6.25,2.92,Discard Th
Ks Kh Kd Ts W,Four of a Kind,99.70,Ts,99.73,0.02,6.25,2.92,Discard Ts
Ks Qs Qd Qc W,Four of a Kind,99.70,Ks,99.73,0.02,6.25,2.92,Discard Ks
Ks Qs Qh Qc W,Four of a Kind,99.70,Ks,99.73,0.02,6.25,2.92,Discard Ks
Ks Qs Qh Qd W,Four of a Kind,99.70,Ks,99.73,0.02,6.25,2.92,Discard Ks
Ac Kc Qc Jc Tc,Royal Flush,99.59,—,99.59,0.00,0.00,—,Keep
Ac Ks Kh Kd Kc,Four of a Kind,99.59,—,99.59,0.00,0.00,—,Keep
Ad Kd Qd Jd Td,Royal Flush,99.59,—,99.59,0.00,0.00,—,Keep
Ad Ks Kh Kd Kc,Four of a Kind,99.59,—,99.59,0.00,0.00,—,Keep
Ah Kh Qh Jh Th,Royal Flush,99.59,—,99.59,0.00,0.00,—,Keep
Ah Ks Kh Kd Kc,Four of a Kind,99.59,—,99.59,0.00,0.00,—,Keep
As Ks Kh Kd Kc,Four of a Kind,99.59,—,99.59,0.00,0.00,—,Keep
As Ks Qs Js Ts,Royal Flush,99.59,—,99.59,0.00,0.00,—,Keep
Ac Js Jh Jd W,Four of a Kind,99.45,Ac,99.50,0.05,6.25,3.00,Discard Ac
Ad Js Jh Jc W,Four of a Kind,99.45,Ad,99.50,0.05,6.25,3.00,Discard Ad
Ah Js Jd Jc W,Four of a Kind,99.45,Ah,99.50,0.05,6.25,3.00,Discard Ah
As Jh Jd Jc W,Four of a Kind,99.45,As,99.50,0.05,6.25,3.00,Discard As
Kc Js Jh Jd W,Four of a Kind,99.45,Kc,99.50,0.05,6.25,3.00,Discard Kc
Kd Js Jh Jc W,Four of a Kind,99.45,Kd,99.50,0.05,6.25,3.00,Discard Kd
Kh Js Jd Jc W,Four of a Kind,99.45,Kh,99.50,0.05,6.25,3.00,Discard Kh
Ks Jh Jd Jc W,Four of a Kind,99.45,Ks,99.50,0.05,6.25,3.00,Discard Ks
Qc Js Jh Jd W,Four of a Kind,99.45,Qc,99.50,0.05,6.25,3.00,Discard Qc
Qd Js Jh Jc W,Four of a Kind,99.45,Qd,99.50,0.05,6.25,3.00,Discard Qd
Qh Js Jd Jc W,Four of a Kind,99.45,Qh,99.50,0.05,6.25,3.00,Discard Qh
Qh Qd Qc Js W,Four of a Kind,99.45,Js,99.50,0.05,6.25,3.00,Discard Js
Qh Qd Qc Ts W,Four of a Kind,99.45,Ts,99.50,0.05,6.25,3.00,Discard Ts
Qs Jh Jd Jc W,Four of a Kind,99.45,Qs,99.50,0.05,6.25,3.00,Discard Qs
Qs Qd Qc Jh W,Four of a Kind,99.45,Jh,99.50,0.05,6.25,3.00,Discard Jh
Qs Qd Qc Th W,Four of a Kind,99.45,Th,99.50,0.05,6.25,3.00,Discard Th
Qs Qh Qc Jd W,Four of a Kind,99.45,Jd,99.50,0.05,6.25,3.00,Discard Jd
Qs Qh Qc Td W,Four of a Kind,99.45,Td,99.50,0.05,6.25,3.00,Discard Td
Qs Qh Qd Jc W,Four of a Kind,99.45,Jc,99.50,0.05,6.25,3.00,Discard Jc
Qs Qh Qd Tc W,Four of a Kind,99.45,Tc,99.50,0.05,6.25,3.00,Discard Tc
Ac Jh Jd Jc W,Four of a Kind,99.43,Ac,99.47,0.05,6.25,2.96,Discard Ac
Ac Js Jd Jc W,Four of a Kind,99.43,Ac,99.47,0.05,6.25,2.96,Discard Ac
Ac Js Jh Jc W,Four of a Kind,99.43,Ac,99.47,0.05,6.25,2.96,Discard Ac
Ad Jh Jd Jc W,Four of a Kind,99.43,Ad,99.47,0.05,6.25,2.96,Discard Ad
Ad Js Jd Jc W,Four of a Kind,99.43,Ad,99.47,0.05,6.25,2.96,Discard Ad
Ad Js Jh Jd W,Four of a Kind,99.43,Ad,99.47,0.05,6.25,2.96,Discard Ad
Ah Jh Jd Jc W,Four of a Kind,99.43,Ah,99.47,0.05,6.25,2.96,Discard Ah
Ah Js Jh Jc W,Four of a Kind,99.43,Ah,99.47,0.05,6.25,2.96,Discard Ah
Ah Js Jh Jd W,Four of a Kind,99.43,Ah,99.47,0.05,6.25,2.96,Discard Ah
As Js Jd Jc W,Four of a Kind,99.43,As,99.47,0.05,6.25,2.96,Discard As
As Js Jh Jc W,Four of a Kind,99.43,As,99.47,0.05,6.25,2.96,Discard As
As Js Jh Jd W,Four of a Kind,99.43,As,99.47,0.05,6.25,2.96,Discard As
Kc Jh Jd Jc W,Four of a Kind,99.43,Kc,99.47,0.05,6.25,2.96,Discard Kc
Kc Js Jd Jc W,Four of a Kind,99.43,Kc,99.47,0.05,6.25,2.96,Discard Kc
Kc Js Jh Jc W,Four of a Kind,99.43,Kc,99.47,0.05,6.25,2.96,Discard Kc
Kd Jh Jd Jc W,Four of a Kind,99.43,Kd,99.47,0.05,6.25,2.96,Discard Kd
Kd Js Jd Jc W,Four of a Kind,99.43,Kd,99.47,0.05,6.25,2.96,Discard Kd
Kd Js Jh Jd W,Four of a Kind,99.43,Kd,99.47,0.05,6.25,2.96,Discard Kd
Kh Jh Jd Jc W,Four of a Kind,99.43,Kh,99.47,0.05,6.25,2.96,Discard Kh
Kh Js Jh Jc W,Four of a Kind,99.43,Kh,99.47,0.05,6.25,2.96,Discard Kh
Kh Js Jh Jd W,Four of a Kind,99.43,Kh,99.47,0.05,6.25,2.96,Discard Kh
Ks Js Jd Jc W,Four of a Kind,99.43,Ks,99.47,0.05,6.25,2.96,Discard Ks
Ks Js Jh Jc W,Four of a Kind,99.43,Ks,99.47,0.05,6.25,2.96,Discard Ks
Ks Js Jh Jd W,Four of a Kind,99.43,Ks,99.47,0.05,6.25,2.96,Discard Ks
Qc Jh Jd Jc W,Four of a Kind,99.43,Qc,99.47,0.05,6.25,2.96,Discard Qc
Qc Js Jd Jc W,Four of a Kind,99.43,Qc,99.47,0.05,6.25,2.96,Discard Qc
Qc Js Jh Jc W,Four of a Kind,99.43,Qc,99.47,0.05,6.25,2.96,Discard Qc
Qd Jh Jd Jc W,Four of a Kind,99.43,Qd,99.47,0.05,6.25,2.96,Discard Qd
Qd Js Jd Jc W,Four of a Kind,99.43,Qd,99.47,0.05,6.25,2.96,Discard Qd
Qd Js Jh Jd W,Four of a Kind,99.43,Qd,99.47,0.05,6.25,2.96,Discard Qd
Qh Jh Jd Jc W,Four of a Kind,99.43,Qh,99.47,0.05,6.25,2.96,Discard Qh
Qh Js Jh Jc W,Four of a Kind,99.43,Qh,99.47,0.05,6.25,2.96,Discard Qh
Qh Js Jh Jd W,Four of a Kind,99.43,Qh,99.47,0.05,6.25,2.96,Discard Qh
Qh Qd Qc Jc W,Four of a Kind,99.43,Jc,99.47,0.05,6.25,2.96,Discard Jc
Qh Qd Qc Jd W,Four of a Kind,99.43,Jd,99.47,0.05,6.25,2.96,Discard Jd
Qh Qd Qc Jh W,Four of a Kind,99.43,Jh,99.47,0.05,6.25,2.96,Discard Jh
Qh Qd Qc Tc W,Four of a Kind,99.43,Tc,99.47,0.05,6.25,2.96,Discard Tc
Qh Qd Qc Td W,Four of a Kind,99.43,Td,99.47,0.05,6.25,2.96,Discard Td
Qh Qd Qc Th W,Four of a Kind,99.43,Th,99.47,0.05,6.25,2.96,Discard Th
Qs Js Jd Jc W,Four of a Kind,99.43,Qs,99.47,0.05,6.25,2.96,Discard Qs
Qs Js Jh Jc W,Four of a Kind,99.43,Qs,99.47,0.05,6.25,2.96,Discard Qs
Qs Js Jh Jd W,Four of a Kind,99.43,Qs,99.47,0.05,6.25,2.96,Discard Qs
Qs Qd Qc Jc W,Four of a Kind,99.43,Jc,99.47,0.05,6.25,2.96,Discard Jc
Qs Qd Qc Jd W,Four of a Kind,99.43,Jd,99.47,0.05,6.25,2.96,Discard Jd
Qs Qd Qc Js W,Four of a Kind,99.43,Js,99.47,0.05,6.25,2.96,Discard Js
Qs Qd Qc Tc W,Four of a Kind,99.43,Tc,99.47,0.05,6.25,2.96,Discard Tc
Qs Qd Qc Td W,Four of a Kind,99.43,Td,99.47,0.05,6.25,2.96,Discard Td
Qs Qd Qc Ts W,Four of a Kind,99.43,Ts,99.47,0.05,6.25,2.96,Discard Ts
Qs Qh Qc Jc W,Four of a Kind,99.43,Jc,99.47,0.05,6.25,2.96,Discard Jc
Qs Qh Qc Jh W,Four of a Kind,99.43,Jh,99.47,0.05,6.25,2.96,Discard Jh
Qs Qh Qc Js W,Four of a Kind,99.43,Js,99.47,0.05,6.25,2.96,Discard Js
Qs Qh Qc Tc W,Four of a Kind,99.43,Tc,99.47,0.05,6.25,2.96,Discard Tc
Qs Qh Qc Th W,Four of a Kind,99.43,Th,99.47,0.05,6.25,2.96,Discard Th
Qs Qh Qc Ts W,Four of a Kind,99.43,Ts,99.47,0.05,6.25,2.96,Discard Ts
Qs Qh Qd Jd W,Four of a Kind,99.43,Jd,99.47,0.05,6.25,2.96,Discard Jd
Qs Qh Qd Jh W,Four of a Kind,99.43,Jh,99.47,0.05,6.25,2.96,Discard Jh
